city_name,region_code,region_name,is_duplicate,aliases,phone_route_code
коряжма,north-western_fd,Северо-Западный ФО,0,,
сосновый бор,north-western_fd,Северо-Западный ФО,0,,
лодейное поле,north-western_fd,Северо-Западный ФО,0,,
тотьма,north-western_fd,Северо-Западный ФО,0,,
новосокольники,north-western_fd,Северо-Западный ФО,0,,
красное село,north-western_fd,Северо-Западный ФО,0,,
ломоносов,north-western_fd,Северо-Западный ФО,0,,
гаджиево,north-western_fd,Северо-Западный ФО,0,,
дно,north-western_fd,Северо-Западный ФО,0,,
ухта,north-western_fd,Северо-Западный ФО,0,,
сясьстрой,north-western_fd,Северо-Западный ФО,0,,
сольцы,north-western_fd,Северо-Западный ФО,0,,
бокситогорск,north-western_fd,Северо-Западный ФО,0,,
кемь,north-western_fd,Северо-Западный ФО,0,,
архангельск,north-western_fd,Северо-Западный ФО,0,,
микунь,north-western_fd,Северо-Западный ФО,0,,
великий устюг,north-western_fd,Северо-Западный ФО,0,,
калининград,north-western_fd,Северо-Западный ФО,0,,
каменногорск,north-western_fd,Северо-Западный ФО,0,,
волхов,north-western_fd,Северо-Западный ФО,0,,
кронштадт,north-western_fd,Северо-Западный ФО,0,,
северодвинск,north-western_fd,Северо-Западный ФО,0,,
печеры,north-western_fd,Северо-Западный ФО,0,,
котлас,north-western_fd,Северо-Западный ФО,0,,
гвардейск,north-western_fd,Северо-Западный ФО,0,,
сортавала,north-western_fd,Северо-Западный ФО,0,,
светогорск,north-western_fd,Северо-Западный ФО,0,,
белозёрск,north-western_fd,Северо-Западный ФО,0,,
нестеров,north-western_fd,Северо-Западный ФО,0,,
сольвычегорск,north-western_fd,Северо-Западный ФО,0,,
полярные зори,north-western_fd,Северо-Западный ФО,0,,
ивангород,north-western_fd,Северо-Западный ФО,0,,
новая ладога,north-western_fd,Северо-Западный ФО,0,,
себеж,north-western_fd,Северо-Западный ФО,0,,
мурманск,north-western_fd,Северо-Западный ФО,0,,
порхов,north-western_fd,Северо-Западный ФО,0,,
мончегорск,north-western_fd,Северо-Западный ФО,0,,
петергоф,north-western_fd,Северо-Западный ФО,0,,
североморск,north-western_fd,Северо-Западный ФО,0,,
тосно,north-western_fd,Северо-Западный ФО,0,,
инта,north-western_fd,Северо-Западный ФО,0,,
печёры,north-western_fd,Северо-Западный ФО,0,,
бородино,siberian_fd,Сибирский ФО,0,,
куйбышев,siberian_fd,Сибирский ФО,0,,
заринск,siberian_fd,Сибирский ФО,0,,
северск,siberian_fd,Сибирский ФО,0,,
горняк,siberian_fd,Сибирский ФО,0,,
минусинск,siberian_fd,Сибирский ФО,0,,
бирюсинск,siberian_fd,Сибирский ФО,0,,
тайшет,siberian_fd,Сибирский ФО,0,,
междуреченск,siberian_fd,Сибирский ФО,0,,
мариинск,siberian_fd,Сибирский ФО,0,,
назарово,siberian_fd,Сибирский ФО,0,,
свирск,siberian_fd,Сибирский ФО,0,,
татарск,siberian_fd,Сибирский ФО,0,,
ангарск,siberian_fd,Сибирский ФО,0,,
таштагол,siberian_fd,Сибирский ФО,0,,
бийск,siberian_fd,Сибирский ФО,0,,
пылысаево,siberian_fd,Сибирский ФО,0,,
уяр,siberian_fd,Сибирский ФО,0,,
красноярск,siberian_fd,Сибирский ФО,0,,
сосновоборск,siberian_fd,Сибирский ФО,0,,
черемхово,siberian_fd,Сибирский ФО,0,,
ак-довурак,siberian_fd,Сибирский ФО,0,,
усть-илимск,siberian_fd,Сибирский ФО,0,,
новокузнецк,siberian_fd,Сибирский ФО,0,,
тюкалинск,siberian_fd,Сибирский ФО,0,,
саяногорск,siberian_fd,Сибирский ФО,0,,
алейск,siberian_fd,Сибирский ФО,0,,
дудинка,siberian_fd,Сибирский ФО,0,,
асино,siberian_fd,Сибирский ФО,0,,
дивногорск,siberian_fd,Сибирский ФО,0,,
братск,siberian_fd,Сибирский ФО,0,,
новоалтайск,siberian_fd,Сибирский ФО,0,,
алзамай,siberian_fd,Сибирский ФО,0,,
вихоревка,siberian_fd,Сибирский ФО,0,,
томск,siberian_fd,Сибирский ФО,0,,
черногорск,siberian_fd,Сибирский ФО,0,,
тара,siberian_fd,Сибирский ФО,0,,
рубцовск,siberian_fd,Сибирский ФО,0,,
юрга,siberian_fd,Сибирский ФО,0,,
гурьевск,siberian_fd,Сибирский ФО,1,,
каргат,siberian_fd,Сибирский ФО,0,,
иркутск,siberian_fd,Сибирский ФО,0,,
усолье-сибирское,siberian_fd,Сибирский ФО,0,,
шелехов,siberian_fd,Сибирский ФО,0,,
байкальск,siberian_fd,Сибирский ФО,0,,
ачинск,siberian_fd,Сибирский ФО,0,,
артёмовск,siberian_fd,Сибирский ФО,0,,
горно-алтайск,siberian_fd,Сибирский ФО,0,,
бодайбо,siberian_fd,Сибирский ФО,0,,
искитим,siberian_fd,Сибирский ФО,0,,
железногорск-илимский,siberian_fd,Сибирский ФО,0,,
усть-кут,siberian_fd,Сибирский ФО,0,,
кызыл,siberian_fd,Сибирский ФО,0,,
славгород,siberian_fd,Сибирский ФО,0,,
туран,siberian_fd,Сибирский ФО,0,,
заречный,privolzhsky_fd,Приволжский ФО,1,,
черепаново,siberian_fd,Сибирский ФО,0,,
тайга,siberian_fd,Сибирский ФО,0,,
киренск,siberian_fd,Сибирский ФО,0,,
калачинск,siberian_fd,Сибирский ФО,0,,
абаза,siberian_fd,Сибирский ФО,0,,
кедровый,siberian_fd,Сибирский ФО,0,,
абакан,siberian_fd,Сибирский ФО,0,,
барабинск,siberian_fd,Сибирский ФО,0,,
заозерный,siberian_fd,Сибирский ФО,0,,
болотное,siberian_fd,Сибирский ФО,0,,
белокуриха,siberian_fd,Сибирский ФО,0,,
слюдянка,siberian_fd,Сибирский ФО,0,,
анжеро-судженск,siberian_fd,Сибирский ФО,0,,
боготол,siberian_fd,Сибирский ФО,0,,
называевск,siberian_fd,Сибирский ФО,0,,
омск,siberian_fd,Сибирский ФО,0,,
белово,siberian_fd,Сибирский ФО,0,,
игарка,siberian_fd,Сибирский ФО,0,,
иланский,siberian_fd,Сибирский ФО,0,,
кодинск,siberian_fd,Сибирский ФО,0,,
тогучин,siberian_fd,Сибирский ФО,0,,
киселёвск,siberian_fd,Сибирский ФО,0,,
камень-на-оби,siberian_fd,Сибирский ФО,0,,
железногорск,siberian_fd,Сибирский ФО,0,,
яровое,siberian_fd,Сибирский ФО,0,,
заречный,ural_fd,Уральский ФО,1,,
карасук,siberian_fd,Сибирский ФО,0,,
саянск,siberian_fd,Сибирский ФО,0,,
